Plik;Czas[s];Koszt;Sciezka
tsp_6_2.txt
tsp_6_2.txt;0.015990257263183594;85;[0, 5, 1, 2, 4, 3]
tsp_6_2.txt;0.012992143630981445;98;[0, 5, 1, 3, 4, 2]
tsp_6_2.txt;0.012993335723876953;80;[0, 5, 1, 2, 3, 4]
tsp_6_2.txt;0.012991905212402344;80;[0, 5, 1, 2, 3, 4]
tsp_6_2.txt;0.012993097305297852;80;[0, 5, 1, 2, 3, 4]
tsp_6_2.txt;0.012991666793823242;85;[0, 5, 1, 2, 4, 3]
tsp_6_2.txt;0.013008594512939453;80;[0, 5, 1, 2, 3, 4]
tsp_6_2.txt;0.012989521026611328;98;[0, 5, 1, 3, 4, 2]
tsp_6_2.txt;0.012980222702026367;80;[0, 5, 1, 2, 3, 4]
tsp_6_2.txt;0.011993646621704102;92;[0, 5, 1, 3, 2, 4]
